Monday, december 18, 2023;10:15;11:45;P216C;Programming Essentials;
Monday, december 18, 2023;12:30;14:00;P216C;Programming Essentials;
Tuesday, december 19, 2023;12:30;14:00;G206;Professional Skills ;
Tuesday, december 19, 2023;14:15;15:45;G206;Professional Skills ;
Wednesday, december 20, 2023;12:30;14:00;P306B;Programming Essentials;
Wednesday, december 20, 2023;14:15;15:45;P306B;Programming Essentials;
Tuesday, februari 13, 2024;10:15;11:45;G206;OO Development;
Thursday, februari 15, 2024;8:30;10:00;G206;OO Development;
Thursday, februari 15, 2024;10:15;11:45;G206;OO Development;
Tuesday, februari 20, 2024;10:15;11:45;G217;OO Development;
Thursday, februari 22, 2024;8:30;10:00;G206;OO Development;
Thursday, februari 22, 2024;10:15;11:45;G206;OO Development;
Monday, februari 26, 2024;12:30;16:00;BEMT-ZK;OO Development;
Monday, maart 05, 2024;12:30;16:00;BEMT-ZK;OO Development;
Tuesday, maart 06, 2024;10:15;11:45;G217;OO Development;
Monday, maart 12, 2024;12:30;16:00;BEMT-ZK;OO Development;
Thursday, maart 15, 2024;8:30;10:00;G206;OO Development;
Thursday, maart 15, 2024;10:15;11:45;G206;OO Development;
Monday, maart 19, 2024;12:30;16:00;BEMT-ZK;OO Development;
Monday, maart 26, 2024;12:30;16:00;BEMT-ZK;OO Development;
Thursday, maart 29, 2024;8:30;10:00;B202;OO Development;
Thursday, maart 29, 2024;10:15;11:45;B202;OO Development;
Monday, april 16, 2024;12:30;16:00;BEMT-ZK;OO Development;
Thursday, april 19, 2024;8:30;10:00;B202;OO Development;
Thursday, april 19, 2024;10:15;11:45;B202;OO Development;
Monday, april 23, 2024;12:30;16:00;BEMT-ZK;OO Development;
Thursday, april 26, 2024;8:30;10:00;B202;OO Development;
Thursday, april 26, 2024;10:15;11:45;B202;OO Development;
Monday, april 30, 2024;12:30;16:00;BEMT-ZK;OO Development;
Thursday, mei 03, 2024;8:30;10:00;B202;OO Development;
Thursday, mei 03, 2024;10:15;11:45;B202;OO Development;
Monday, mei 07, 2024;12:30;16:00;BEMT-ZK;OO Development;
Monday, mei 14, 2024;12:30;16:00;BEMT-ZK;OO Development;
Thursday, mei 17, 2024;8:30;10:00;B202;OO Development;
Thursday, mei 17, 2024;10:15;11:45;B202;OO Development;
